danh từ;https://vi.wikipedia.org/wiki/Ngữ_pháp_tiếng_Việt;;
động từ;https://vi.wikipedia.org/wiki/Ngữ_pháp_tiếng_Việt;;
tính từ;https://vi.wikipedia.org/wiki/Ngữ_pháp_tiếng_Việt;;
đại từ;https://vi.wikipedia.org/wiki/Ngữ_pháp_tiếng_Việt;;
SỐ TỪ;;;
- định nghĩa ;Số từ được định nghĩa trong bài “Ngữ pháp tiếng Việt” ở Wiki;https://vi.wikipedia.org/wiki/Ngữ_pháp_tiếng_Việt;
;Trong kết quả phân loại của TS. Nguyễn Hồng Cổn (Ngôn ngữ.Số 02/2003), không có số từ;;
- ví dụ;“bốn” trong vi.wiktionary;https://vi.wiktionary.org/wiki/bốn#Tiếng_Việt;
;“bốn” trong soha chỉ là danh từ;http://tratu.soha.vn/dict/vn_vn/Bốn;
;“mười”;;
phụ từ;http://tratu.soha.vn/dict/vn_vn/Bỗng_chốc;soha;bỗng chốc
- phụ từ gồm có định từ và phó từ;https://ngnnghc.wordpress.com/2011/03/25/phụ-từ-tiếng-việt/;;
